Lat,Long,Site number,Site name,EQS  5-50,Pedestrian count,Vehicle count,Bearing°,Time,Image URL,Attribution
50.796027,-1.106276,1,Gun Wharf Quays shopping mall,40,145,0,0,2024-06-21T09:30:00,https://oaknational.maps.arcgis.com/sharing/rest/content/items/08cd47493d2442319da154c358ba8ecd/data,"© ‘Gun Wharf Quays shopping mall’, KC, NDSS"
50.796654,-1.105515,2,Gun Wharf Quays pedestrian entrance,33,63,28,330,2024-06-21T09:45:00,https://oaknational.maps.arcgis.com/sharing/rest/content/items/4a94947f81564964b92bbf535f5e3d0f/data,"© ‘Gun Wharf Quays pedestrian entrance’, KC, NDSS"
50.798143,-1.106697,3,Portsmouth Harbour railway station approach (Hertha Ayrton Way),39,41,55,330,2024-06-21T10:00:00,https://oaknational.maps.arcgis.com/sharing/rest/content/items/28074630887b49129fe7ee3881caaac7/data,"© ‘Portsmouth Harbour railway station approach (Hertha Ayrton Way)’, KC, NDSS"
50.798889,-1.107065,4,Queen  St nr Portsmouth Historic Dockyard entrance,38,65,30,40,2024-06-21T10:15:00,https://oaknational.maps.arcgis.com/sharing/rest/content/items/9611eb853bb54c6cbb8affd6786254f0/data,"© ‘Queen St nr Portsmouth Historic Dockyard entrance’, KC, NDSS"
50.799708,-1.104953,5,"Pedestrian (zebra) crossing,  Queen St jn with Hawke St",39,37,32,88,2024-06-21T10:30:00,https://oaknational.maps.arcgis.com/sharing/rest/content/items/a643752ec3a64a2cb3c833c06406ee23/data,"© ‘Pedestrian (zebra) crossing,  Queen St jn with Hawke St’, KC, NDSS"
50.799757,-1.103127,6,Queen St jn with Cross St,27,31,31,88,2024-06-21T10:45:00,https://oaknational.maps.arcgis.com/sharing/rest/content/items/35c45a2c672f48aa962f0fd124fed03f/data,"© ‘Queen St jn with Cross St’, KC, NDSS"
50.799762,-1.10093,7,Queen St jn with Aylward St,23,13,34,88,2024-06-21T11:00:00,https://oaknational.maps.arcgis.com/sharing/rest/content/items/002061be44264ffead785f0a60369e3d/data,"© ‘Queen St jn with Aylward St’, KC, NDSS"
50.799857,-1.097716,8,Queen St jn with Lion Terrace,28,9,35,85,2024-06-21T11:15:00,https://oaknational.maps.arcgis.com/sharing/rest/content/items/c1bdbe65b71645f599a1b40d0804af00/data,"© ‘Queen St jn with Lion Terrace’, KC, NDSS"
50.800102,-1.0952874,9,"St John's Cathedral, Bishop Crispian Way",29,25,41,81,2024-06-21T11:30:00,https://oaknational.maps.arcgis.com/sharing/rest/content/items/4515e29254f14bcc88999ba219ff241b/data,"© ‘St John's Cathedral, Bishop Crispian Way’, KC, NDSS"
50.800262,-1.092369,10,Queen St rbt jn with Stanhope Rd and Unicorn Rd,22,13,95,355,2024-06-21T11:45:00,https://oaknational.maps.arcgis.com/sharing/rest/content/items/3fb0ffde2e704473b40a701e3f45d848/data,"© ‘Queen St rbt jn with Stanhope Rd and Unicorn Rd’, KC, NDSS"
50.799824,-1.091044,11,Edinburgh Rd pedestrian crossing,24,13,12,160,2024-06-21T12:00:00,https://oaknational.maps.arcgis.com/sharing/rest/content/items/fed0701d05c54e8d8b0b508be8ed63f0/data,"© ‘Edinburgh Rd pedestrian crossing’, KC, NDSS"
50.798915,-1.09026,12,Station Street jn with Surrey St,21,5,64,95,2024-06-21T12:15:00,https://oaknational.maps.arcgis.com/sharing/rest/content/items/d80a24f1feaa49a7a3d21df4396c154d/data,"© ‘Station Street jn with Surrey St’, KC, NDSS"
50.798862,-1.087943,13,Station Street jn with Durham St,22,5,56,45,2024-06-21T12:30:00,https://oaknational.maps.arcgis.com/sharing/rest/content/items/0359eb080c9b4e55a8d97b864d0a5e59/data,"© ‘Station Street jn with Durham St’, KC, NDSS"
50.799708,-1.08546,14,Arundel St next to St Edmund's Catholic School,25,9,83,87,2024-06-21T12:45:00,https://oaknational.maps.arcgis.com/sharing/rest/content/items/079bffd1264641158b8b48e3e7904cda/data,"© ‘Arundel St next to St Edmund's Catholic School’, KC, NDSS"
50.799786,-1.082221,15,Arundel St next to St John's Cathedral Caholic Primary School,24,8,84,88,2024-06-21T13:00:00,https://oaknational.maps.arcgis.com/sharing/rest/content/items/2e63469709b14e55a5fa7dac907ff37e/data,"© 'Arundel St next to St John's Cathedral Catholic Primary School’, KC, NDSS"
