name,country,origin,phonetic,ipa
Alnwick,England,"England · town, Northumberland",annik,
Antananarivo,Madagascar,Madagascar · capital city,Ann-tannan-areevo,
Auchtermuchty,Scotland,"Scotland · town, Fife",okkta-murtee,ˌɔxtərˈmʌxti
Beaulieu,England,"England · village, Hampshire",Bew-lee,
Bicester,England,"England · town, Oxfordshire",BISS-tah,
Blackley,England,"England · district, Manchester",Blake-lee,
Bournemouth,England,"England · town, Dorset",Born-muth,
Cholmondeley,England,"England · village and castle, Cheshire",Chum-lee,ˈtʃʌmli
Cleobury,England,"England · town, Shropshire (Cleobury Mortimer)",kleeberry,
Durham,England,England · city and county,Durrum,
Edinburgh,Scotland,Scotland · capital city,Eddin-burrah,
Elham,England,"England · village, Kent",Eellum,
Eyjafjallajökull,Iceland,Iceland · volcano,I-yah-fyattla-yokkull,
Featherstonehaugh,England,"England · surname and place, Northumberland",Fan-shore,ˈfænʃɔː
Frome,England,"England · town, Somerset (rhymes with 'broom')",Froom,
Gateacre,England,"England · district, Liverpool",GATT-a-ker,
Glamis,Scotland,"Scotland · village and castle, Angus (one syllable)",GLAHMZ,ɡlɑːmz
Gloucestershire,England,England · county,Gloss-tah-sheer,
Godmanchester,England,"England · town, Cambridgeshire",GOD-mun-chester,
Holborn,England,"England · district, London",HO-burn,
Hunstanton,England,"England · town, Norfolk",HUN-ston,
Kirkcudbright,Scotland,"Scotland · town, Dumfries and Galloway",KERR-koobree,kərˈkuːbri
Leicester,England,"England · city, Leicestershire",LESS-ter,
Leominster,England,"England · town, Herefordshire",Lemmster,
Lisnagunogue,Northern Ireland,"Northern Ireland · townland, Co. Antrim",liss-na-GUN-yah,
Llanfairpwllgwyngyll,Wales,"Wales · village, Anglesey (short form)",HLAN-vire-poolh-GWIN-gihlh,ɬanˈvairpuɬɡwɨ̞ŋɡɪɬ
Loughborough,England,"England · town, Leicestershire",LUFF-bruh,
Marylebone,England,"England · district, London",Marleebone,
Mousehole,England,"England · village, Cornwall",Mozul,
Ouagadougou,Burkina Faso,Burkina Faso · capital city,waagoodoogoo,waɡaduɡu
Plymouth,England,"England · city, Devon",plimm-uth,
Popocatépetl,Mexico,Mexico · active volcano,popper-katta-petal,
Reykjavík,Iceland,Iceland · capital city,ray-kya-veek,ˈreɪkjaviːk
Tegucigalpa,Honduras,Honduras · capital city,taygulseegallpah,teɣusiˈɣalpa
Tenochtitlan,Mexico,"Mexico · historic Aztec capital, site of modern Mexico City",tennawch-teetlarn,
Thames,England,England · river,Temz,
Towcester,England,England - Town,Toaster,
Woolfardisworthy,England,"England · village, Devon",woolzer-ree,
Worcestershire,England,England · county,wurster-sheer,
Xochimilco,Mexico,"Mexico City · borough, canal district",sowchee-meelko,so.tʃiˈmil.ko
